2022-10-16 11:17:16,770 |    DEBUG | 123
2022-10-16 11:17:16,770 |     INFO | Сообщение отправлено
2022-10-16 11:17:16,771 |  WARNING | Большая нагрузка!
2022-10-16 11:17:16,771 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:17:16,771 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:17:33,150 |  WARNING | Discovery 3
2022-10-16 11:17:33,151 |    DEBUG | <TreeQuerySet [<Category: Discovery 3>]>
2022-10-16 11:21:32,350 |  WARNING | Discovery 3
2022-10-16 11:21:32,351 |    DEBUG | <TreeQuerySet [<Category: Discovery 3>]>
2022-10-16 11:21:33,762 |  WARNING | Discovery 3
2022-10-16 11:21:33,764 |    DEBUG | <TreeQuerySet [<Category: Discovery 3>]>
2022-10-16 11:21:36,934 |  WARNING | Range Rover 10 - 12
2022-10-16 11:21:36,935 |    DEBUG | <TreeQuerySet [<Category: Range Rover 10 - 12>]>
2022-10-16 11:21:37,556 |  WARNING | Range Rover 05 - 09
2022-10-16 11:21:37,559 |    DEBUG | <TreeQuerySet [<Category: Range Rover 05 - 09>]>
2022-10-16 11:21:40,954 |  WARNING | Discovery 5
2022-10-16 11:21:40,955 |    DEBUG | <TreeQuerySet [<Category: Discovery 5>]>
2022-10-16 11:21:52,103 |    DEBUG | 123
2022-10-16 11:21:52,103 |     INFO | Сообщение отправлено
2022-10-16 11:21:52,103 |  WARNING | Большая нагрузка!
2022-10-16 11:21:52,103 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:21:52,103 | CRITICAL | Всё упало! Зовите админа!1!111
2022-10-16 11:21:56,361 |    DEBUG | Discovery 3
2022-10-16 11:21:56,362 |    DEBUG | <TreeQuerySet [<Category: Discovery 3>]>
2022-10-16 11:22:10,829 |    DEBUG | 123
2022-10-16 11:22:10,829 |     INFO | Сообщение отправлено
2022-10-16 11:22:10,829 |  WARNING | Большая нагрузка!
2022-10-16 11:22:10,829 |    ERROR | Бот не смог отправить сообщение
2022-10-16 11:22:10,829 | CRITICAL | Всё упало! Зовите админа!1!111
